iso3,Country Name,Unit,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
MDA,Moldova (Republic of),US$ Mn,71,50,74,64,49,57,58,72,79,112,138,150,229,293,240,222,253,279,318,313
REU,Reunion,US$ Mn,216,258,252,304,301,296,281,284,351,390,384,282,401,448,425,392,479,404,403,387
ROU,Romania,US$ Mn,689,670,603,351,306,394,419,400,523,607,1325,1676,2073,2625,1687,1631,2018,1901,2048,2225
RUS,Russian Federation,US$ Mn,,,,,,,4726,5278,5879,7262,7805,9720,12426,15821,12369,13239,16961,17876,20198,19451
RWA,Rwanda,US$ Mn,4,6,19,20,21,27,29,,,,67,148,177,224,223,224,298,337,351,
WSM,Samoa,US$ Mn,35.6994408852846,40.3980224107601,38.511844,39.600471,42.5,,,,,70,73.8,88.4,102.4,111.6,115.2,123.7,134.9,148.2,137.2,145.7
STP,Sao Tome and Principe,US$ Mn,,,,,,,,,,,,,,,,,,,30.9,56.2
SAU,Saudi Arabia,US$ Mn,,,,,,,,,3418,,,,6907,6775,6744,7536,9317,8400,8690,9263
SEN,Senegal,US$ Mn,168.180307089695,164,171,181,183,152,175,210,269,286,334,329,622,637,474,464,524,,,
SRB,Serbia,US$ Mn,,,,,,,,77,159,220,308,416,1018,1114,986,950,1149,1080,1221,1352
SYC,Seychelles,US$ Mn,224,182,195,191,202,225,221,247,258,256,269,323,396,408,349,352,380,429,484,481
SXM,Sint Maarten,US$ Mn,,,,,,,,,,,,,665,667,619,681,729,854,871,930
SVK,Slovakia,US$ Mn,630,681,555,493,465,441,649,742,876,931,1282,1655,2352,3004,2539,2335,2514,2365,,2619
SVN,Slovenia,US$ Mn,1128,1280,1225,1135,1011,1016,1059,1152,1427,1725,1894,2074,2465,2954,2735,2721,2953,2737,2895,2939
SLB,Solomon Islands,US$ Mn,17.1,16,9.7,7.1,9.7,4,8.8,0.8,1.6,3.52,6.4,30.9,33.1,31.2,39.3,50.8,65.9,65.4,70.5,64.1
ZAF,South Africa,US$ Mn,2654,3137,3422,3419,3407,3338,3256,3695,6674,7571,8629,9211,10226,9178,8684,10309,10706,11202,10468,10484
ESP,Spain,US$ Mn,27369,29751,28649,31592,33784,32656,33829,35468,43863,49996,,,,,,,,,,
LKA,Sri Lanka,US$ Mn,367,282,351,369,414,388,347,594,709,808,729,733,750,803,754,1044,1421,1756,2506,3278
SUR,Suriname,US$ Mn,52,44,38,36,45,42,26,17,18,52,96,109,73,83,70,69,69,79,92,103
SWZ,Swaziland,US$ Mn,54,42,44,51,15,24,23,45,70.04,75.1,77.3,75.1,32.2,26.3,40.1,51.4,21.3,30.3,13.3,16.1
SWE,Sweden,US$ Mn,4390,4534,4025,4997,4943,4825,5200,5671,6548,7686,7739,10016,12259,12060,10100,10991,,,,
CHE,Switzerland,US$ Mn,11354,10779,10036,10188,9135,8988,9290,9117,10493,11404,11949,12855,14725,17589,16670,17617,20644,19613,20329,21006
SYR,Syrian Arab Republic,US$ Mn,,,,,,,,,877,1883,2035,2113,2972,3176,3781,6308,1816,,,
TJK,Tajikistan,US$ Mn,,,,,,,,5,6.2,9.6,10,11,16,24,19,32,40,60,49,107
THA,Thailand,US$ Mn,9257,10367,9052,7954,9416,9935,9378,10388,10456,13054,12102,16614,20623,22497,19814,23809,30926,37769,45740,42063
MKD,Macedonia (the former Yugoslav Republic of),US$ Mn,,35,29,30,80,88,49,55,86,103,116,156,219,262,232,199,242,237,270,298
TGO,Togo,US$ Mn,,,,15,10,11,14,16,26,25,27,23,38,44,73,105,209,206,233,
TON,Tonga,US$ Mn,,,,,,,,,,13.1,15,,15.2,19.4,16.8,28,31.7,45.8,48.1,
TTO,Trinidad and Tobago,US$ Mn,232,262,344,356,365,371,361,402,437,568,593,517,621,557,548,630,650,,,
TUN,Tunisia,US$ Mn,1838,1895,1858,1980,2118,1977,2061,1831,1935,2432,2800,2999,3373,3909,3524,3477,2529,2931,2863,3042
TUR,Turkey,US$ Mn,,,,,,,,,,,20760,19137,21662,26446,26331,26318,30302,31566,35037,37371
TKM,Turkmenistan,US$ Mn,,13,46,,,,,,,,,,,,,,,,,
TCA,Turks and Caicos Islands,US$ Mn,53,99,113,157,238,285,311,292,,,,,,,,,,,,
UGA,Uganda,US$ Mn,,,,,,,187,194,185,268,382,347,402,536,683,802,977,1157,1355,811
UKR,Ukraine,US$ Mn,,448,477,539,503,563,759,1001,1204,2931,3542,4018,5320,6722,4349,4696,5406,5988,5931,2263
ARE,United Arab Emirates,US$ Mn,632,743,814,859,893,1063,1200,1332,1438,1593,3218,4972,6072,7162,7352,8577,9204,10924,12389,13969
GBR,United Kingdom,US$ Mn,27577,29181,30483,31658,30807,29978,26137,27819,30736,37166,39647,44287,48566,46323,37325,40216,44864,47052,53522,62830
TZA,Tanzania (United Republic of),US$ Mn,,,343,404,467,381,626,639,654,762,835,986,1215,1293,1192,1279,1383,1754,1912,2043
USA,United States of America,US$ Mn,93743,102196,107047,105095,111475,120912,109103,104427,101535,115689,122077,126778,144223,164721,146002,167996,187629,200997,214542,220757
VIR,United States Virgin Islands,US$ Mn,822,781,894,941,955,1206,1234,1195,1257,1356,1432,1467,1512,1157,1021,1013,1085,1153,1232,
URY,Uruguay,US$ Mn,725,890,862,,,827,700,409,419,591,699,711,928,1195,1460,1669,2401,2219,2015,1861
UZB,Uzbekistan,US$ Mn,,15,198,167,102,63,72,68,48,57,,,,,,,,,,
VUT,Vanuatu,US$ Mn,,,,72,59,69,58,72,83,93,104,109,142,188,214,242,249,268,314,284
VEN,Venezuela,US$ Mn,995,1026,623,769,643,469,677,484,378,554,722,843,972,1097,1055,794,805,904,926,
VNM,Viet Nam,US$ Mn,,,,,,,,,1400,1700,2300,2850,3750,3930,3050,4450,5710,6850,7250,7330
YEM,Yemen,US$ Mn,,,,,,,,,,,,,,,,1291,910,1005,1097,1199
ZWE,Zimbabwe,US$ Mn,145,232,205,158,202,125,81,76,61,194,99,338,365,294,523,634,664,749,856,827
